station_id,latitude,longitude,wind_dir_degrees,wind_speed_kt
KFYV,36.0103,-94.1624,220,13
KFXE,26.199,-80.1776,0,0
KFWN,41.1993,-74.6259,200,4
KFVE,47.2852,-68.3072,N/A,N/A
KFUL,33.8715,-117.986,0,0
KFTY,33.7776,-84.5247,VRB,3
KFTW,32.8248,-97.364,180,12
KFSM,35.3335,-94.3653,210,10
KFRG,40.7344,-73.4164,200,7
KFPR,27.4981,-80.3763,0,0
KFOK,40.8506,-72.6193,VRB,4
KFOE,38.9414,-95.6513,30,9
KFNT,42.9669,-83.75,230,5
KFNB,40.0791,-95.5893,240,5
KFMY,26.584,-81.8615,0,0
KFMN,36.7435,-108.229,70,7
KFLL,26.0787,-80.1622,90,3
KFLD,43.7695,-88.4907,200,6
KFDY,41.0137,-83.6681,220,7
KFDR,34.3531,-98.9876,200,18
KFCM,44.8321,-93.4705,320,3
KFAY,34.9895,-78.8801,240,13
KFAT,36.78,-119.72,320,4
KFAR,46.9242,-96.8119,340,4
KEYW,24.5571,-81.7554,30,5
KEYE,39.8248,-86.2958,N/A,N/A
KEVW,41.2727,-111.031,0,0
KESF,31.3963,-92.2828,260,9
KEQY,35.0147,-80.6242,210,5
KEPH,47.3078,-119.516,350,5
KENW,42.5953,-87.9383,190,3
KEMP,38.3291,-96.1945,210,15
KELY,39.2954,-114.847,180,6
KELN,47.0338,-120.531,310,14
KELM,42.1601,-76.89,0,0
KEET,33.1783,-86.7818,230,4
KEEO,40.0444,-107.888,170,4
KECP,30.3487,-85.7884,40,3
KDXR,41.3722,-73.4834,0,0
KDWH,30.068,-95.5563,VRB,3
KDVT,33.6902,-112.066,120,5
KDUJ,41.1795,-78.8933,0,0
KDTO,33.2088,-97.1992,190,12
KDRT,29.3784,-100.927,120,12
KDRO,37.1431,-107.76,70,3
KDRA,36.621,-116.029,30,6
KDMO,38.712,-93.1747,210,15
KDMN,32.2592,-107.721,220,7
KDMH,39.281,-76.611,N/A,N/A
KDLS,45.619,-121.166,0,0
KDLN,45.2584,-112.555,200,7
KDKK,42.4932,-79.2762,0,0
KDHT,36.0252,-102.549,230,13
KDHN,31.3177,-85.4432,280,4
KDGW,42.796,-105.38,310,4
KDFW,32.8974,-97.0219,190,13
KDFI,41.3357,-84.4285,200,7
KDEW,47.9742,-117.429,190,3
KDET,42.4072,-83.009,240,3
KDEN,39.8466,-104.656,220,10
KDCU,34.658,-86.9434,220,6
KDAN,36.5729,-79.335,240,7
KDAB,29.1735,-81.0719,60,8
KCYS,41.1579,-104.808,270,6
KCXO,30.3611,-95.4176,190,7
KCUT,43.7331,-103.615,0,0
KCUB,33.972,-80.9939,190,4
KCSM,35.3568,-99.2041,190,17
KCRS,32.0316,-96.3994,190,9
KCRQ,33.1299,-117.277,0,0
KCRG,30.3371,-81.5128,120,3
KCRE,33.8162,-78.7204,230,7
KCQC,35.003,-105.663,300,10
KCPS,38.57,-90.156,360,7
KCPR,42.8978,-106.474,240,10
KCNY,38.7501,-109.763,0,0
KCNO,33.9756,-117.625,0,0
KCNM,32.3335,-104.258,150,10
KCMX,47.1705,-88.4854,190,5
KCMI,40.0324,-88.2755,170,6
KCLM,48.1219,-123.507,0,0
KCKB,39.3022,-80.2239,230,4
KCHO,38.1374,-78.4551,VRB,3
KCHA,35.0336,-85.2004,200,5
KCEZ,37.3071,-108.626,20,6
KCEW,30.7771,-86.5194,0,0
KCDW,40.8764,-74.2829,250,3
KCDS,34.4275,-100.284,200,16
KCDR,42.8374,-103.098,0,0
KCDC,37.7067,-113.097,330,7
KCCR,37.9916,-122.053,200,13
KCAG,40.493,-107.524,N/A,N/A
KBYI,42.5452,-113.769,170,3
KBYG,44.3812,-106.719,340,6
KBWG,36.9647,-86.4238,220,7
KBVY,42.5841,-70.9153,240,3
KBVO,36.7664,-96.0129,200,11
KBUR,34.1996,-118.365,220,3
KBTR,30.5378,-91.1468,230,6
KBTM,45.9644,-112.501,160,3
KBTL,42.3119,-85.2415,200,6
KBRO,25.9146,-97.4231,160,10
KBRL,40.7729,-91.1255,190,8
KBRD,46.4021,-94.1273,20,4
KBPT,29.9521,-94.0262,190,9
KBPK,36.3705,-92.4719,240,6
KBOI,43.567,-116.241,130,8
KBNA,36.1105,-86.6881,200,7
KBMG,39.1432,-86.6168,210,6
KBKV,28.4739,-82.4537,150,3
KBKL,41.5173,-81.6832,310,4
KBIV,42.7463,-86.0968,150,7
KBIL,45.8072,-108.546,230,6
KBHM,33.5655,-86.7449,240,5
KBGR,44.7979,-68.8195,60,6
KBGM,42.2068,-75.9799,0,0
KBFI,47.5455,-122.315,150,5
KBFF,41.8747,-103.601,300,7
KBFD,41.7984,-78.6354,VRB,3
KBEH,42.129,-86.4152,160,9
KBDE,48.7261,-94.6122,280,4
KBCT,26.379,-80.106,90,8
KBCE,37.7013,-112.149,270,4
KBAF,42.16,-72.7124,230,5
KAXN,45.868,-95.394,120,4
KAUS,30.2099,-97.6806,170,12
KAUG,44.3161,-69.797,20,6
KATY,44.9045,-97.1496,350,4
KASX,46.5468,-90.9184,220,9
KASE,39.2299,-106.871,130,5
KASD,30.3436,-89.8224,VRB,5
KARA,30.0292,-91.8845,0,0
KAPF,26.155,-81.7751,70,4
KAPA,39.5599,-104.848,150,5
KAOO,40.2999,-78.3168,0,0
KAOH,40.7081,-84.0214,200,5
KAMW,41.9905,-93.6185,0,0
KAMG,31.5401,-82.5074,200,4
KAMA,35.2203,-101.717,210,20
KALW,46.0946,-118.286,180,12
KAKO,40.1743,-103.215,290,7
KAIA,42.0573,-102.802,0,0
KAGS,33.3652,-81.9635,200,5
KAGC,40.3551,-79.9215,200,4
KAFW,32.99,-97.32,180,13
KACV,40.9784,-124.105,70,3
KACK,41.2541,-70.0589,240,14
KABR,45.4436,-98.4138,20,6
KAAF,29.7268,-85.0248,310,4
PATA,65.173,-152.107,0,0
PALP,70.348,-150.928,60,11
PABA,70.135,-143.585,60,13
KVTN,42.8585,-100.551,20,3
KTRM,33.6317,-116.164,130,4
KSUX,42.3917,-96.3795,0,0
KSPS,33.9785,-98.493,190,12
KSPI,39.8453,-89.684,180,11
KREO,42.5902,-117.865,160,7
KRAP,44.0458,-103.054,180,3
KPYM,41.9085,-70.7278,200,4
KPWK,42.1208,-87.9048,180,9
KPPF,37.3281,-95.5044,VRB,6
KP69,46.144,-115.597,0,0
KORE,42.57,-72.287,0,0
KOMA,41.3119,-95.9018,0,0
KOKC,35.3843,-97.6003,190,16
KOKB,33.2195,-117.35,0,0
KNZY,32.6922,-117.21,350,6
KNRB,30.396,-81.423,130,5
KNHK,38.284,-76.408,190,11
KNFW,32.781,-97.436,180,13
KMWH,47.193,-119.315,130,4
KMLF,38.4225,-113.011,190,7
KMKE,42.9549,-87.9045,0,0
KMHK,39.1346,-96.6789,280,5
KMFD,40.8204,-82.5177,230,7
KMBG,45.543,-100.404,140,8
KLWC,39.0078,-95.2115,190,6
KIOW,41.6394,-91.5445,260,6
KIJD,41.7425,-72.1825,0,0
KIEN,43.0261,-102.52,0,0
KIAD,38.9348,-77.4473,190,3
KHUT,38.0682,-97.8607,160,17
KHIE,44.3659,-71.5522,100,7
KGLS,29.2704,-94.8642,180,9
KFIT,42.5549,-71.757,170,3
KEST,43.4008,-94.7476,140,4
KDPA,41.8964,-88.2512,120,9
KDDC,37.7711,-99.9692,120,14
KDCA,38.8472,-77.0345,160,8
KCQX,41.6878,-69.9932,230,10
KCNU,37.6705,-95.4846,210,12
KCID,41.8829,-91.7246,280,7
KCFV,37.0912,-95.5726,200,11
KBML,44.576,-71.1782,VRB,3
KBLU,39.2762,-120.709,120,3
KBLH,33.6188,-114.715,30,4
KBAN,38.355,-119.522,N/A,N/A
KATL,33.6297,-84.4422,260,3
KANE,45.1426,-93.2127,0,0
KALS,37.4393,-105.862,90,3
KAFN,42.8067,-72.0013,VRB,4
KABQ,35.0419,-106.615,310,3
KABI,32.4106,-99.6821,180,11
PHBK,22.034,-159.783,80,5
MUGM,19.909,-75.206,30,7
KYNG,41.2548,-80.6736,250,3
KXWA,48.2542,-103.747,170,8
KVNY,34.2121,-118.491,VRB,3
KUGN,42.4255,-87.8634,180,6
KTPL,31.157,-97.4094,170,11
KTEB,40.859,-74.0562,0,0
KSTL,38.7524,-90.3734,200,12
KSNT,44.1708,-114.927,0,0
KSMX,34.894,-120.452,310,4
KSMO,34.021,-118.447,0,0
KSLK,44.3928,-74.2029,0,0
KSDB,34.7433,-118.725,180,9
KSAT,29.5443,-98.4839,150,9
KSAN,32.7365,-117.197,40,5
KSAD,32.8565,-109.636,310,6
KROW,33.3074,-104.508,180,10
KRDU,35.8923,-78.782,230,7
KPWM,43.6424,-70.3044,20,9
KPIT,40.4814,-80.2083,230,6
KPHX,33.4278,-112.004,150,6
KP59,47.467,-87.875,240,7
KORF,36.9037,-76.1927,190,11
KORD,41.9602,-87.9316,160,8
KOCF,29.1636,-82.221,N/A,N/A
KNYC,40.779,-73.9692,0,0
KNBT,35.022,-76.463,230,6
KMYL,44.8943,-116.1,0,0
KMPV,44.205,-72.5655,30,3
KLGA,40.7794,-73.8803,VRB,6
KJFK,40.6392,-73.7639,220,9
KILG,39.6744,-75.6057,200,7
KIGM,35.2575,-113.934,150,9
KHTS,38.3653,-82.5548,VRB,4
KHSE,35.2324,-75.6223,280,4
KHDO,29.3601,-99.1742,160,12
KEWR,40.6828,-74.1692,VRB,3
KERI,42.0803,-80.1824,270,6
KELP,31.8123,-106.377,180,4
KEKN,38.8899,-79.8554,220,3
KDAW,43.2794,-70.9243,50,8
KCSG,32.5163,-84.9422,230,5
KCRP,27.7733,-97.513,160,13
KCON,43.2049,-71.5026,40,7
KCMH,39.9907,-82.8771,200,7
KCLE,41.4057,-81.8519,VRB,6
KCDJ,39.8198,-93.577,170,4
KCAK,40.9181,-81.4434,240,4
KBHK,46.3521,-104.261,160,10
KBGD,35.695,-101.396,220,11
KBED,42.4681,-71.2946,320,3
KALB,42.7473,-73.7991,160,5
KAHN,33.9477,-83.3274,230,4
KACT,31.618,-97.2283,180,13
KABE,40.658,-75.4347,0,0
K6R6,30.0482,-102.213,120,8
VECX,9.15,92.817,100,5
TJBQ,18.494,-67.128,90,11
SFAL,-51.686,-57.778,300,11
PTRO,7.367,134.544,340,3
PKMR,7.09,171.383,VRB,3
OOSH,24.388,56.624,100,11
OOSA,17.044,54.102,190,5
OOMS,23.595,58.298,50,12
OOKB,26.168,56.239,10,10
OODQ,19.511,57.657,210,29
OOAD,22.5,57.37,250,15
NSTU,-14.337,-170.721,160,12
MUVR,23.033,-81.435,130,5
MUSC,22.494,-79.931,110,8
MUHG,20.786,-76.316,90,12
MUHA,22.991,-82.41,80,8
MUCU,19.971,-75.837,20,6
MUCM,21.42,-77.85,60,11
MUCL,21.621,-81.552,100,11
MUCF,22.159,-80.41,90,8
MUCC,22.456,-78.339,110,8
LXGB,36.151,-5.35,80,11
LTFO,41.179,40.845,260,7
LTFM,41.262,28.74,50,18
LTFK,40.2,25.883,340,8
LTFJ,40.899,29.309,50,20
LTFH,41.255,36.567,350,7
LTFG,36.299,32.3,230,6
LTFE,37.245,27.673,250,13
LTFD,39.559,27.025,40,15
LTFC,37.855,30.368,340,8
LTFB,37.951,27.333,250,14
LTDA,36.361,36.283,210,19
LTCW,37.55,44.238,60,15
LTCV,37.365,42.06,300,16
LTCT,39.977,43.878,40,4
LTCS,37.445,38.904,50,13
LTCR,37.232,40.638,10,12
LTCP,37.731,38.469,30,10
LTCN,37.539,36.953,290,12
LTCK,38.748,41.661,70,18
LTCJ,37.93,41.117,360,10
LTCI,38.469,43.337,40,15
LTCG,40.995,39.782,VRB,4
LTCF,40.562,43.115,50,13
LTCE,39.956,41.17,80,15
LTCD,39.71,39.527,VRB,2
LTCC,37.894,40.201,360,8
LTCB,40.967,38.081,300,8
LTCA,38.607,39.291,300,9
LTBY,39.81,30.519,VRB,2
LTBU,41.139,27.919,30,18
LTBS,36.713,28.793,190,11
LTBR,40.255,29.562,360,14
LTBQ,40.735,30.083,60,9
LTBO,38.68,29.483,100,9
LTBJ,38.285,27.155,330,19
LTBH,40.14,26.425,30,18
LTBF,39.619,27.926,10,18
LTBD,37.816,27.886,240,11
LTBA,40.982,28.821,50,22
LTAZ,38.771,34.521,20,11
LTAY,37.785,29.701,60,10
LTAU,38.77,35.495,60,4
LTAT,38.435,38.092,VRB,5
LTAS,41.507,32.089,310,12
LTAR,39.798,36.894,350,17
LTAP,40.826,35.52,50,18
LTAN,37.979,32.562,30,11
LTAJ,36.947,37.479,340,5
LTAI,36.9,30.798,200,14
LTAG,37.002,35.426,220,12
LTAF,36.989,35.293,240,11
LTAE,40.079,32.566,110,7
LTAC,40.128,32.995,60,9
LIRU,41.953,12.5,240,9
LIRI,40.62,14.911,220,6
LIQN,42.427,12.85,280,7
LIPK,44.196,12.07,110,7
LIPB,46.46,11.326,190,7
LIMP,44.825,10.296,60,7
LIMG,44.046,8.126,80,7
LIMA,45.086,7.603,VRB,5
LICG,36.814,11.971,340,5
LIBG,40.517,17.403,20,12
LIBF,41.433,15.535,350,18
LIBC,38.997,17.079,40,10
LGSO,37.422,24.95,360,18
LGSM,37.69,26.912,320,11
LGNX,37.081,25.369,20,18
LGKP,35.421,27.146,280,28
LGHI,38.343,26.141,30,9
LCRA,34.59,32.988,250,10
LCEN,35.155,33.496,150,11
KVQQ,30.2035,-81.8725,VRB,5
KTOA,33.803,-118.336,0,0
KSUN,43.4969,-114.292,310,10
KRYY,34.0146,-84.5964,270,3
KOMN,29.3009,-81.111,100,8
KOLV,34.9808,-89.7851,240,10
KNQA,35.3619,-89.8612,230,6
KMTN,39.3214,-76.4065,190,6
KLAL,27.9866,-82.0193,0,0
KJWN,36.1852,-86.8833,230,3
KJQF,35.3896,-80.7074,0,0
KHXD,32.2263,-80.6949,0,0
KHQZ,32.7514,-96.5291,180,7
KHOB,32.6797,-103.222,150,14
KGYI,33.7231,-96.6714,190,9
KGPM,32.6928,-97.0485,190,11
KFMH,41.6608,-70.5221,170,6
KFIN,29.467,-81.207,130,5
KDAG,34.8537,-116.787,270,9
KCWF,30.2216,-93.1467,180,5
KALN,38.8897,-90.0316,VRB,4
KADM,34.3007,-97.0089,190,13
FHAW,-7.97,-14.394,140,14
ETNG,50.964,6.032,100,8
ENVR,67.653,12.723,230,7
ENNO,59.565,9.217,90,6
ENLK,68.155,13.615,320,5
ENHE,65.325,2.327,210,10
ENHD,59.341,5.22,170,10
ENBO,67.267,14.359,300,6
EKVD,55.436,9.329,260,9
EGYP,-51.82,-58.448,300,10
EGYM,52.648,0.567,160,6
EGYH,52.873,0.139,70,13
EGYE,52.962,-0.562,220,9
EGYD,53.031,-0.503,160,6
EGXZ,54.205,-1.39,220,11
EGXW,53.175,-0.523,190,9
EGXV,53.876,-0.435,220,8
EGXT,52.611,-0.461,190,8
EGXS,53.475,0.152,120,16
EGXE,54.297,-1.533,230,10
EGXC,53.094,-0.173,200,7
EGWC,52.64,-2.311,210,7
EGVP,51.139,-1.569,170,7
EGVO,51.239,-0.945,120,6
EGUW,52.124,0.957,150,11
EGUB,51.62,-1.099,110,7
EGQS,57.711,-3.324,290,11
EGQM,55.421,-1.601,230,11
EGQL,56.377,-2.862,240,15
EGQK,57.646,-3.563,260,6
EGQA,57.825,-3.955,210,17
EGPH,55.952,-3.36,220,15
EGOW,53.582,-3.055,320,8
EGOV,53.252,-4.536,260,7
EGOS,52.795,-2.665,190,9
EGOP,51.714,-4.367,240,5
EGOM,55.05,-2.554,270,9
EGNJ,53.58,-0.341,220,10
EGDY,51.006,-2.643,150,10
EGDR,50.084,-5.257,220,6
EGDM,51.153,-1.75,140,9
EEEI,59.26,24.209,350,10
BGSF,67.013,-50.718,250,2
BGKK,65.575,-37.133,240,11
BGJN,69.24,-51.064,320,3
BGGH,64.191,-51.677,170,39
BGBW,61.164,-45.42,230,12
MMMM,19.844,-101.037,0,0
MMCL,24.766,-107.476,10,7
KHUM,29.5634,-90.6629,0,0
KBKB,31.022,-92.911,0,0
PAHY,55.202,-132.825,0,0
MMPS,15.876,-97.093,0,0
MMMZ,23.161,-106.271,40,5
KJDN,47.3259,-106.949,0,0
KIWA,33.3008,-111.644,140,6
KFWS,32.558,-97.308,180,9
KBJC,39.9008,-105.104,320,3
KASG,36.1802,-94.1176,210,11
MMVA,17.998,-92.817,100,8
MMUN,21.038,-86.855,90,5
MMMX,19.436,-99.072,50,3
MMMD,20.936,-89.659,100,12
MMAA,16.758,-99.754,0,0
KTRK,39.3154,-120.137,0,0
KTIX,28.508,-80.798,300,4
KSUA,27.1815,-80.2252,0,0
KSEE,32.8273,-116.974,0,0
KSAW,46.341,-87.395,190,8
KPOC,34.0928,-117.779,0,0
KPAO,37.458,-122.112,280,4
KMWN,44.271,-71.304,90,23
KLBE,40.2767,-79.4039,220,12
KHSA,30.3765,-89.4554,0,0
KGYR,33.428,-112.368,120,7
KGEU,33.528,-112.293,0,0
KFDK,39.4177,-77.3696,210,6
KEVB,29.0568,-80.9491,100,7
KCWA,44.7795,-89.671,0,0
KCFO,39.7948,-104.54,220,7
KAEG,35.15,-106.793,360,9
KADS,32.9634,-96.8354,190,10
K14Y,45.9017,-94.8727,0,0
MMVR,19.144,-96.189,0,0
MMSM,19.763,-99.002,0,0
MMEP,21.418,-104.842,0,0
MMBT,15.775,-96.26,0,0
KTZR,39.8988,-83.1357,220,7
EQYS,37.4,14.92,100,12
TJIG,18.457,-66.094,100,12
PAKU,70.331,-149.613,70,14
MMTL,20.1725,-87.6622,0,0
MMTJ,32.544,-116.982,0,0
MMCB,18.83,-99.265,280,5
LHSN,47.123,20.235,330,10
LHSM,46.689,17.161,350,7
LHPR,47.627,17.808,350,12
LHPP,45.991,18.241,310,7
LHPA,47.362,17.494,330,9
LHNY,47.985,21.692,280,7
LHKE,46.917,19.749,310,13
LHDC,47.489,21.615,VRB,6
KUES,43.0425,-88.2465,0,0
KSWF,41.5045,-74.0999,VRB,4
KRYN,32.1418,-111.177,VRB,3
KOUN,35.2436,-97.4713,180,15
KMWC,43.1095,-88.0343,0,0
KMMU,40.7989,-74.4164,0,0
KLWB,37.8633,-80.3923,0,0
KJVL,42.6213,-89.0419,VRB,3
KESN,38.804,-76.069,220,8
KCGF,41.566,-81.4827,280,4
KBOW,27.9471,-81.7811,0,0
KBBG,36.5259,-93.1969,210,6
KBAK,39.2664,-85.8926,200,7
KATW,44.2519,-88.526,220,6
MMLO,20.997,-101.481,0,0
MMGL,20.523,-103.312,0,0
MMOX,17.002,-96.724,40,4
MMML,32.631,-115.238,0,0
MMLP,24.077,-110.364,190,11
MMCM,18.504,-88.326,80,6
MMCE,18.651,-91.8,110,12
MMAS,21.702,-102.318,40,3
MMPB,19.17,-98.371,340,4
MMCV,23.706,-98.959,130,14
MMCN,27.395,-109.837,180,3
MMTG,16.571,-93.03,130,3
MMMA,25.77,-97.523,150,5
MMCZ,20.516,-86.932,100,7
MMZO,19.147,-104.565,360,6
MMZH,17.605,-101.464,0,0
MMZC,22.904,-102.68,0,0
MMTP,14.795,-92.371,0,0
MMTC,25.564,-103.408,120,8
MMSP,22.256,-100.93,30,3
MMSD,23.157,-109.72,330,4
MMRX,26.01,-98.232,230,7
MMQT,20.617,-100.194,100,12
MMPR,20.68,-105.25,350,2
MMPQ,17.534,-92.017,0,0
MMPN,19.396,-102.041,0,0
MMPA,20.601,-97.459,0,0
MMNL,27.448,-99.574,130,10
MMMY,25.774,-100.104,100,8
MMMT,18.098,-94.583,0,0
MMIA,19.276,-103.576,0,0
MMHO,29.097,-111.051,70,7
MMGA,-99.99,-99.99,0,0
MMDO,24.124,-104.532,0,0
MMCU,28.701,-105.965,340,4
MMCS,31.636,-106.427,200,6
MMCP,19.817,-90.502,120,10
MMAN,25.865,-100.239,100,7
ETNL,53.916,12.279,330,11
PAAK,52.219,-174.208,290,14
KDUB,43.5485,-109.684,0,0
PAOO,60.537,-165.089,190,15
RKNW,37.337,127.947,220,9
VYMD,21.702,95.978,180,10
VOVZ,17.722,83.228,VRB,2
LEGA,37.136,-3.633,170,19
EIKY,52.18,-9.538,210,6
ETWM,52.725,7.33,150,4
ETSN,48.71,11.21,50,4
ETSL,48.185,10.861,10,5
ETSH,51.768,13.168,300,7
ETSB,50.175,7.06,100,6
ETNW,52.457,9.427,80,3
ETNT,53.548,7.667,90,3
ETNS,54.457,9.52,300,9
ETNN,50.829,6.66,110,6
ETNH,54.312,9.538,280,7
ETND,52.588,8.342,150,4
ETMN,53.765,8.658,350,3
ETHS,52.918,10.184,210,3
ETHN,49.398,9.958,80,6
ETHL,48.218,9.91,100,6
ETHF,51.114,9.286,110,4
ETHC,52.591,10.022,90,2
ETHB,52.279,9.082,170,3
ETHA,47.834,10.867,80,5
ETGG,54.827,9.506,280,8
ENSL,58.367,1.907,180,17
ENSF,61.25,1.85,200,28
ENSE,61.45,2.15,150,14
ENQR,61.53,2.22,150,24
ENQC,60.886,3.61,150,24
ENQA,60.645,3.725,150,24
KMFV,37.646,-75.763,240,6
